datetime,yaw,angular_velocity,linear_velocity 
17:12:11,3.729,-0.001,-6786.137 
17:12:17,3.944,-0.005,-33930.685 
17:12:23,4.395,-0.004,-27144.548 
17:12:29,4.608,0.002,13572.274 
17:12:35,3.814,-0.001,-6786.137 
17:12:40,3.026,0.001,6786.137 
17:12:47,3.033,0.001,6786.137 
17:12:53,3.027,-0.001,-6786.137 
17:12:58,3.032,0.001,6786.137 
17:13:04,3.062,0.005,33930.685 
17:13:10,3.08,0.003,20358.411 
17:13:16,3.086,0.001,6786.137 
17:13:23,3.114,0.004,27144.548 
17:13:29,3.138,0.004,27144.548 
17:13:36,3.145,0.001,6786.137 
17:13:43,3.173,0.004,27144.548 
17:13:49,3.185,0.002,13572.274 
17:13:55,3.215,0.005,33930.685 
17:14:01,3.221,0.001,6786.137 
17:14:06,3.226,0.001,6786.137 
17:14:12,3.244,0.003,20358.411 
17:14:18,3.274,0.005,33930.685 
17:14:23,3.289,0.003,20358.411 
17:14:29,3.295,0.001,6786.137 
17:14:35,3.313,0.003,20358.411 
17:14:42,3.341,0.004,27144.548 
17:14:47,3.346,0.001,6786.137 
17:14:52,3.351,0.001,6786.137 
17:14:59,3.358,0.001,6786.137 
17:15:06,3.386,0.004,27144.548 
17:15:11,3.401,0.003,20358.411 
17:15:18,3.436,0.005,33930.685 
17:15:24,3.424,-0.002,-13572.274 
17:15:29,3.429,0.001,6786.137 
17:15:34,3.434,0.001,6786.137 
17:15:39,3.429,-0.001,-6786.137 
17:15:44,3.424,-0.001,-6786.137 
17:15:49,3.419,-0.001,-6786.137 
17:15:54,3.429,0.002,13572.274 
17:16:01,3.443,0.002,13572.274 
17:16:07,3.449,0.001,6786.137 
17:16:13,3.437,-0.002,-13572.274 
17:16:19,3.443,0.001,6786.137 
17:16:25,3.449,0.001,6786.137 
17:16:30,3.454,0.001,6786.137 
17:16:35,3.474,0.004,27144.548 
17:16:41,3.48,0.001,6786.137 
17:16:47,3.504,0.004,27144.548 
17:16:53,3.51,0.001,6786.137 
17:16:59,3.516,0.001,6786.137 
17:17:05,3.534,0.003,20358.411 
17:17:10,3.539,0.001,6786.137 
17:17:16,3.563,0.004,27144.548 
17:17:22,3.545,-0.003,-20358.411 
17:17:27,3.54,-0.001,-6786.137 
17:17:32,3.545,0.001,6786.137 
17:17:38,3.551,0.001,6786.137 
17:17:45,3.558,0.001,6786.137 
17:17:51,3.564,0.001,6786.137 
17:17:56,3.559,-0.001,-6786.137 
17:18:03,3.538,-0.003,-20358.411 
17:18:08,3.543,0.001,6786.137 
17:18:13,3.538,-0.001,-6786.137 
17:18:20,3.545,0.001,6786.137 
17:18:25,3.55,0.001,6786.137 
17:18:30,3.555,0.001,6786.137 
17:18:36,3.585,0.005,33930.685 
17:18:42,3.591,0.001,6786.137 
17:18:47,3.581,-0.002,-13572.274 
17:18:53,3.587,0.001,6786.137 
17:19:00,3.594,0.001,6786.137 
17:19:05,3.599,0.001,6786.137 
17:19:11,3.593,-0.001,-6786.137 
17:19:16,3.588,-0.001,-6786.137 
17:19:21,3.593,0.001,6786.137 
17:19:26,3.598,0.001,6786.137 
17:19:31,3.623,0.005,33930.685 
17:19:37,3.647,0.004,27144.548 
17:19:44,3.654,0.001,6786.137 
17:19:51,3.689,0.005,33930.685 
17:19:57,3.719,0.005,33930.685 
17:20:04,3.726,0.001,6786.137 
17:20:10,3.732,0.001,6786.137 
17:20:17,3.711,-0.003,-20358.411 
17:20:24,3.718,0.001,6786.137 
17:20:31,3.725,0.001,6786.137 
17:20:37,3.731,0.001,6786.137 
17:20:42,3.736,0.001,6786.137 
17:20:47,3.741,0.001,6786.137 
17:20:52,3.746,0.001,6786.137 
17:20:58,3.776,0.005,33930.685 
17:21:05,3.783,0.001,6786.137 
17:21:11,3.795,0.002,13572.274 
17:21:18,3.802,0.001,6786.137 
17:21:23,3.807,0.001,6786.137 
17:21:30,3.835,0.004,27144.548 
17:21:36,3.841,0.001,6786.137 
17:21:41,3.856,0.003,20358.411 
17:21:47,3.862,0.001,6786.137 
17:21:52,3.872,0.002,13572.274 
17:21:59,3.858,-0.002,-13572.274 
17:22:04,3.863,0.001,6786.137 
17:22:09,3.868,0.001,6786.137 
17:22:14,3.873,0.001,6786.137 
17:22:20,3.861,-0.002,-13572.274 
17:22:25,3.866,0.001,6786.137 
17:22:30,3.891,0.005,33930.685 
17:22:36,3.897,0.001,6786.137 
17:22:41,3.912,0.003,20358.411 
17:22:46,3.927,0.003,20358.411 
17:22:53,3.934,0.001,6786.137 
17:22:59,3.94,0.001,6786.137 
17:23:05,3.922,-0.003,-20358.411 
17:23:11,3.928,0.001,6786.137 
17:23:18,3.942,0.002,13572.274 
17:23:23,3.947,0.001,6786.137 
17:23:28,3.972,0.005,33930.685 
17:23:34,3.978,0.001,6786.137 
17:23:41,3.985,0.001,6786.137 
17:23:47,3.979,-0.001,-6786.137 
17:23:52,3.994,0.003,20358.411 
17:23:58,4.006,0.002,13572.274 
17:24:03,4.011,0.001,6786.137 
17:24:08,4.016,0.001,6786.137 
17:24:14,4.034,0.003,20358.411 
17:24:20,4.022,-0.002,-13572.274 
17:24:25,4.032,0.002,13572.274 
17:24:30,4.037,0.001,6786.137 
17:24:37,4.023,-0.002,-13572.274 
17:24:43,4.017,-0.001,-6786.137 
17:24:48,4.022,0.001,6786.137 
17:24:54,4.04,0.003,20358.411 
17:25:00,4.046,0.001,6786.137 
17:25:05,4.051,0.001,6786.137 
17:25:11,4.039,-0.002,-13572.274 
17:25:16,4.059,0.004,27144.548 
17:25:22,4.065,0.001,6786.137 
17:25:27,4.055,-0.002,-13572.274 
17:25:33,4.085,0.005,33930.685 
17:25:40,4.092,0.001,6786.137 
17:25:45,4.112,0.004,27144.548 
17:25:52,4.147,0.005,33930.685 
17:25:59,4.168,0.003,20358.411 
17:26:05,4.174,0.001,6786.137 
17:26:11,4.18,0.001,6786.137 
17:26:16,4.185,0.001,6786.137 
17:26:21,4.19,0.001,6786.137 
17:26:28,4.197,0.001,6786.137 
17:26:33,4.207,0.002,13572.274 
17:26:38,4.227,0.004,27144.548 
17:26:43,4.232,0.001,6786.137 
17:26:49,4.238,0.001,6786.137 
17:26:54,4.258,0.004,27144.548 
17:27:01,4.279,0.003,20358.411 
17:27:08,4.307,0.004,27144.548 
17:27:15,4.314,0.001,6786.137 
17:27:21,4.32,0.001,6786.137 
17:27:27,4.344,0.004,27144.548 
17:27:32,4.334,-0.002,-13572.274 
17:27:37,4.349,0.003,20358.411 
17:27:44,4.377,0.004,27144.548 
17:27:51,4.391,0.002,13572.274 
17:27:58,4.398,0.001,6786.137 
17:28:04,4.422,0.004,27144.548 
17:28:11,4.429,0.001,6786.137 
17:28:16,4.444,0.003,20358.411 
17:28:21,4.469,0.005,33930.685 
17:28:26,4.484,0.003,20358.411 
17:28:33,4.491,0.001,6786.137 
17:28:39,4.479,-0.002,-13572.274 
17:28:44,4.484,0.001,6786.137 
17:28:51,4.477,-0.001,-6786.137 
17:28:57,4.483,0.001,6786.137 
17:29:02,4.488,0.001,6786.137 
17:29:08,4.494,0.001,6786.137 
17:29:15,4.501,0.001,6786.137 
17:29:21,4.507,0.001,6786.137 
17:29:26,4.502,-0.001,-6786.137 
17:29:32,4.514,0.002,13572.274 
17:29:37,4.519,0.001,6786.137 
17:29:43,4.501,-0.003,-20358.411 
17:29:50,4.508,0.001,6786.137 
17:29:57,4.515,0.001,6786.137 
17:30:04,4.522,0.001,6786.137 
17:30:09,4.512,-0.002,-13572.274 
17:30:14,4.517,0.001,6786.137 
17:30:20,4.523,0.001,6786.137 
17:30:27,4.53,0.001,6786.137 
17:30:32,4.555,0.005,33930.685 
17:30:37,4.55,-0.001,-6786.137 
17:30:42,4.555,0.001,6786.137 
17:30:48,4.585,0.005,33930.685 
17:30:54,4.603,0.003,20358.411 
17:31:01,4.589,-0.002,-13572.274 
17:31:06,4.584,-0.001,-6786.137 
17:31:13,4.57,-0.002,-13572.274 
17:31:19,4.576,0.001,6786.137 
17:31:24,4.581,0.001,6786.137 
17:31:29,4.586,0.001,6786.137 
17:31:34,4.591,0.001,6786.137 
17:31:39,4.581,-0.002,-13572.274 
17:31:45,4.587,0.001,6786.137 
17:31:51,4.575,-0.002,-13572.274 
17:31:56,4.6,0.005,33930.685 
17:32:01,4.585,-0.003,-20358.411 
17:32:07,4.591,0.001,6786.137 
17:32:12,4.606,0.003,20358.411 
17:32:19,4.613,0.001,6786.137 
17:32:26,4.62,0.001,6786.137 
17:32:31,4.625,0.001,6786.137 
17:32:37,4.631,0.001,6786.137 
17:32:44,4.638,0.001,6786.137 
17:32:49,4.623,-0.003,-20358.411 
17:32:56,4.658,0.005,33930.685 
17:33:03,4.665,0.001,6786.137 
17:33:08,4.67,0.001,6786.137 
17:33:13,4.675,0.001,6786.137 
17:33:18,4.68,0.001,6786.137 
17:33:23,4.675,-0.001,-6786.137 
17:33:29,4.693,0.003,20358.411 
17:33:34,4.698,0.001,6786.137 
17:33:40,4.704,0.001,6786.137 
17:33:46,4.71,0.001,6786.137 
17:33:51,4.715,0.001,6786.137 
17:33:57,4.721,0.001,6786.137 
17:34:02,4.731,0.002,13572.274 
17:34:07,4.746,0.003,20358.411 
17:34:14,4.753,0.001,6786.137 
17:34:20,4.759,0.001,6786.137 
17:34:25,4.764,0.001,6786.137 
17:34:31,4.77,0.001,6786.137 
17:34:37,4.758,-0.002,-13572.274 
17:34:44,4.786,0.004,27144.548 
17:34:49,4.806,0.004,27144.548 
17:34:55,4.812,0.001,6786.137 
17:35:01,4.818,0.001,6786.137 
17:35:07,4.812,-0.001,-6786.137 
17:35:12,4.837,0.005,33930.685 
17:35:17,4.847,0.002,13572.274 
17:35:23,4.853,0.001,6786.137 
17:35:28,4.858,0.001,6786.137 
17:35:33,4.868,0.002,13572.274 
17:35:38,4.863,-0.001,-6786.137 
17:35:44,4.851,-0.002,-13572.274 
17:35:50,4.881,0.005,33930.685 
17:35:56,4.899,0.003,20358.411 
17:36:03,4.906,0.001,6786.137 
17:36:09,4.888,-0.003,-20358.411 
17:36:14,4.873,-0.003,-20358.411 
17:36:20,4.879,0.001,6786.137 
17:36:27,4.886,0.001,6786.137 
17:36:32,4.891,0.001,6786.137 
17:36:39,4.898,0.001,6786.137 
17:36:45,4.904,0.001,6786.137 
17:36:51,4.898,-0.001,-6786.137 
17:36:56,4.888,-0.002,-13572.274 
17:37:02,4.894,0.001,6786.137 
17:37:08,4.9,0.001,6786.137 
17:37:13,4.905,0.001,6786.137 
17:37:19,4.935,0.005,33930.685 
17:37:25,4.929,-0.001,-6786.137 
17:37:31,4.935,0.001,6786.137 
17:37:36,4.94,0.001,6786.137 
17:37:42,4.964,0.004,27144.548 
17:37:48,4.97,0.001,6786.137 
17:37:54,4.976,0.001,6786.137 
17:38:00,4.958,-0.003,-20358.411 
17:38:05,4.963,0.001,6786.137 
17:38:11,4.969,0.001,6786.137 
17:38:17,4.975,0.001,6786.137 
17:38:22,4.98,0.001,6786.137 
17:38:29,4.994,0.002,13572.274 
17:38:34,4.999,0.001,6786.137 
17:38:39,5.024,0.005,33930.685 
17:38:46,5.059,0.005,33930.685 
17:38:51,5.064,0.001,6786.137 
17:38:58,5.071,0.001,6786.137 
17:39:05,5.092,0.003,20358.411 
17:39:10,5.087,-0.001,-6786.137 
17:39:17,5.073,-0.002,-13572.274 
17:39:23,5.103,0.005,33930.685 
17:39:28,5.108,0.001,6786.137 
17:39:34,5.09,-0.003,-20358.411 
17:39:39,5.105,0.003,20358.411 
17:39:45,5.111,0.001,6786.137 
17:39:52,5.118,0.001,6786.137 
17:39:57,5.138,0.004,27144.548 
17:40:02,5.158,0.004,27144.548 
17:40:09,5.165,0.001,6786.137 
17:40:15,5.171,0.001,6786.137 
